original_ingredient,new_ingredient
151 proof rum,rum - over proof
7-up,soda - lemon lime
absinthe,
absolut citron,vodka - citron
absolut kurant,vodka - blackcurrant
absolut peppar,vodka - pepper
absolut vodka,vodka
advocaat,
agave syrup,syrup - agave
ale,beer - ale
allspice,spice - allspice
almond,
almond flavoring,extract - almond
amaretto,
anejo rum,rum - anejo
angelica root,spice - angelica root
angostura bitters,bitters - angostura
anis,anisette
anise,spice - anise
anisette,
aperol,
apfelkorn,
apple,fruit - apple
apple brandy,brandy - apple
apple cider,cider - apple
apple juice,juice - apple
apple schnapps,schnapps - apple
applejack,
apricot,fruit - apricot
apricot brandy,brandy - apricot
aquavit,
asafoetida,
bacardi limon,rum - limon
bailey's irish cream,irish cream
baileys irish cream,irish cream
banana,fruit - banana
banana liqueur,liqueur - banana
beer,
benedictine,
berries,fruit - berries
bitter lemon,soda - bitter lemon
bitters,
black pepper,spice - black pepper
black sambuca,sambuca - black
blackberry brandy,brandy - blackberry
blackcurrant cordial,syrup - blackcurrant
blackcurrant squash,syrup - blackcurrant
blended whiskey,whiskey - blended
blue curacao,curacao - blue
blueberry schnapps,schnapps - blueberry
bourbon,whiskey - bourbon
brandy,
brown sugar,sugar - brown
butter,
butterscotch schnapps,schnapps - butterscotch
cachaca,
campari,
candy,
cantaloupe,
caramel coloring,
caramel sauce,syrup - caramel
carbonated soft drink,soda - lemon lime
carbonated water,water - soda
cardamom,spice - cardamom
carrot,
cayenne pepper,spice - cayenne pepper
celery salt,spice - celery salt
chambord raspberry liqueur,liqueur - raspberry
champagne,wine - sparkling
cherries,fruit - cherry
cherry,fruit - cherry
cherry brandy,brandy - cherry
cherry grenadine,syrup - grenadine
cherry heering,
cherry liqueur,liqueur - cherry
chocolate,
chocolate ice-cream,ice cream - chocolate
chocolate liqueur,liqueur - chocolate
chocolate milk,milk - chocolate
chocolate sauce,syrup - chocolate
chocolate syrup,syrup - chocolate
cider,
cinnamon,spice - cinnamon
cloves,spice - clove
club soda,water - soda
coca-cola,soda - coca-cola
cocoa powder,
coconut liqueur,liqueur - coconut
coconut milk,milk - coconut
coconut rum,rum - coconut
coconut syrup,syrup - coconut
coffee,
coffee brandy,brandy - coffee
coffee liqueur,liqueur - coffee
cognac,
cointreau,curacao
condensed milk,milk - condensed
coriander,spice - coriander
corn syrup,syrup - corn
cornstarch,
corona,beer - lager
cranberries,fruit - cranberry
cranberry juice,juice - cranberry
cranberry vodka,vodka - cranberry
cream,cream - heavy
cream of coconut,
creme de banane,
creme de cacao,
creme de cassis,
creme de mure,
crown royal,whiskey - canadian
cumin seed,spice - cumin
curacao,
daiquiri mix,
dark creme de cacao,creme de cacao - dark
dark rum,rum - dark
demerara sugar,sugar - demerara
dr. pepper,soda - dr pepper
drambuie,
dry vermouth,vermouth - dry
dubonnet rouge,
egg,
egg white,
egg yolk,
erin cream,
espresso,
everclear,grain alcohol
fennel seeds,spice - fennel
firewater,schnapps - cinnamon
food coloring,
frangelico,
fresca,soda - lemon lime
fresh lemon juice,juice - lemon
fresh lime juice,juice - lime
fruit,
fruit juice,juice - fruit
fruit punch,
galliano,
gin,
ginger,spice - ginger
ginger ale,soda - ginger ale
ginger beer,soda - ginger beer
glycerine,
godiva liqueur,liqueur - godiva
gold tequila,tequila - gold
goldschlager,schnapps - cinnamon
grain alcohol,
grand marnier,
grape juice,juice - grape
grape soda,soda - grape
grapefruit juice,juice - grapefruit
grapes,fruit - grape
green chartreuse,chartreuse - green
green creme de menthe,creme de menthe - green
grenadine,syrup - grenadine
guava juice,juice - guava
guinness stout,beer - stout
half-and-half,cream - half and half
